prediction,x,y
0.017878358841851273,76,68
0.19027100061824642,88,55
0.05026412027694124,87,31
0.0165058080496124,87,22
0.1496099936979294,88,41
0.047297908479682356,83,66
0.042434142727676094,82,66
0.05253612924161213,84,34
0.05580660670886671,81,61
0.1690863240999485,90,60
0.025729688393914533,76,37
0.004134433531527048,66,71
0.06496377004315096,80,46
0.24084621884298418,91,43
0.10516387739830715,96,67
0.06851307981552797,88,67
0.03971291513743648,87,71
0.042434142727676094,82,66
0.056923575893926895,79,53
0.1018364774331819,83,49
0.028942056800756948,86,27
0.03158212353727432,81,68
0.16007495116447476,87,56
0.037746764679656014,78,61
0.05635000244077273,87,68
0.028663443050684915,81,69
0.023853840700406474,73,48
0.028890623746695612,78,65
0.028325453919542446,80,32
0.2913924370019571,93,43
0.027527213370993397,74,53
0.20347212784368868,91,41
0.008331365825350772,74,74
0.02260527298656325,78,32
0.04558439229713725,79,60
0.10793144176217633,91,35
0.02887342517492724,76,39
0.14530906922931677,92,37
0.08592022155021013,86,63
0.15375512476837797,90,61
0.012963606508745645,74,31
0.035497255135772114,89,27
0.24014821735519232,93,41
0.29988178665797305,91,53
0.014328280186989515,73,66
0.23648910306518012,89,50
0.127227838659708,89,62
0.07647907093594275,81,50
0.02012728086470537,72,45
0.02304093533533172,74,40
0.0706047498657097,90,68
0.00841539909044285,75,75
0.0429680964259059,83,67
0.08447864142012901,82,55
0.13483994984145561,85,52
0.16680191703631334,89,41
0.03407073475598776,94,75
0.01095508487335066,74,29
0.12160328353499783,93,65
0.04822748889270538,88,70
0.1496099936979294,88,41
0.06201835689028396,80,56
0.027634744569651707,74,50
0.04472694576063724,87,30
0.15375512476837797,90,61
0.023400181730287857,81,29
0.025778531173516705,80,31
0.09591240695367824,91,66
0.11777665907272271,85,57
0.006199308402154683,74,77
0.09520704928709153,87,63
0.07962641565196349,90,33
0.17258888350244972,87,54
0.0185976726821222,74,64
0.06443705757591744,93,30
0.07887450215039842,95,69
0.012091182959186155,70,38
0.04944842435832158,78,52
0.24441206962278345,90,45
0.08501732397138337,91,67
0.07052549795376611,85,64
0.04558439229713725,79,60
0.014472254598727589,70,57
0.0178135227017222,71,49
0.05936251946716786,81,40
0.03591899770334477,76,45
0.01916982753973624,73,39
0.020681491275255415,78,31
0.009151385823730426,74,73
0.12947406018919633,92,64
0.01714968835962983,78,29
0.16759932069627917,91,61
0.025845862101830423,88,25
0.008657280041729703,72,71
0.05172533448711648,89,30
0.49124324977552647,96,54
0.2301194183124535,94,40
0.17340664264496736,93,62
0.24084621884298418,91,57
0.1018364774331819,83,49
0.010089453507553692,79,77
0.06158842990914842,92,30
0.042803528577619494,77,51
0.3094647654125513,91,49
0.020737788151136832,82,27
0.2555141760612617,97,60
0.016301549955943215,73,64
0.007587571581501534,76,77
0.23097580816385094,89,47
0.06587483293779393,89,68
0.005022900596864086,72,23
0.13351330297237735,87,59
0.5284393844303346,95,49
0.05017604713167961,79,42
0.09945724316165444,83,46
0.0211931087162365,75,36
0.024244968107498467,87,25
0.07091822392129997,86,35
0.020891693283170053,74,62
0.0273217706974612,76,62
0.026588835520614175,91,76
0.018242431728272706,73,38
0.033033251296020666,77,39
0.025698146078997484,74,57
0.01329232088501994,69,49
0.021992644128360245,74,39
0.04307312833651787,79,39
0.13547328729668945,91,37
0.033033251296020666,77,61
0.043689108311246456,78,58
0.2056441990240113,88,49
0.34029845278736454,92,53
0.0584346861644107,89,31
0.29988178665797305,91,47
0.061095611212136046,88,68
0.15073734760656837,86,46
0.037746764679656014,78,39
0.0512457412370251,94,72
0.011422056037221677,78,25
0.034803939714463314,77,60
0.18516577180100185,91,60
0.0312183767876402,89,26
0.0273217706974612,76,62
0.22476229259585234,89,46
0.043249114182693074,93,27
0.35391909914536196,92,51
0.3176812765750154,93,56
0.1381238091417768,88,40
0.07822657733835112,86,36
0.04862520824988201,90,71
0.06443705757591744,93,70
0.006081048810441371,72,25
0.24394778891346142,92,42
0.01515729092950361,71,40
0.052157385538719875,79,43
0.4045138607778938,93,51
0.020050424442586933,73,40
0.0584346861644107,89,31
0.009339437276892107,76,25
0.10247626785590504,95,33
0.007566502525288423,74,25
0.007678091988736145,71,29
0.01916982753973624,73,39
0.004165625885546695,65,31
0.4627854145380215,97,45
0.012674323231620344,77,73
0.023119286447807908,79,69
0.028942056800756948,86,73
0.06276361694702354,97,71
0.06201835689028396,80,56
0.012595610456219401,72,66
0.040481636636446494,79,38
0.012540572759900032,76,28
0.03981678018735586,80,36
0.09457534818730795,98,68
0.024119981491196745,76,64
0.20106116939206328,97,38
0.03971291513743648,87,29
0.0273217706974612,76,62
0.2053542572513648,89,44
0.01015732697910831,72,31
0.03194773955040722,75,52
0.07545145172938834,82,58
0.3489827845548342,92,52
0.07887450215039842,95,31
0.32312181271157014,97,58
0.10750154940675903,93,34
0.03963548136571691,91,73
0.12947406018919633,92,64
0.047414994233749286,92,72
0.1314180187023896,85,54
0.06694841606856294,94,30
0.13229010640102032,95,35
